Code,Site,year,Sn50,,Sn347,,Sn262,,Sn463,,Sn558b,,Sn1015,,Sn1618,,,,,,,,,,,
JT 22-19,JT,2022,134,134,116,116,148,148,88,91,86,86,146,146,133,133,,,,,,,,,,
JT 22-2,JT,2022,134,134,116,118,148,148,85,88,86,86,0,0,133,136,,,,,,,,,,
JT 22-20,JT,2022,134,134,118,122,150,150,85,94,86,86,146,146,157,172,,,,,,,,,,
JT 22-3,JT,2022,128,134,116,116,148,148,88,91,86,86,144,146,133,136,,,,,,,,,,
JT 22-6,JT,2022,134,134,116,118,146,146,0,0,86,86,146,146,133,136,,,,,,,,,,
JT 22-9,JT,2022,128,134,118,118,154,154,0,0,86,88,146,146,139,223,,,,,,,,,,
AzH 22-11,AzH,2022,134,134,116,118,0,0,88,91,86,86,0,0,133,136,,,,,,,,,,
AzH 22-13,AzH,2022,134,134,112,118,148,148,0,0,86,92,146,146,133,169,,,,,,,,,,
AzH 22-16,AzH,2022,134,134,116,118,146,146,0,0,88,88,144,146,157,157,,,,,,,,,,
AzH 22-2,AzH,2022,144,144,0,0,148,148,0,0,86,86,146,146,133,157,,,,,,,,,,
AzH 22-3,AzH,2022,134,134,116,118,148,148,0,0,86,88,146,146,136,136,,,,,,,,,,
AzH 22-4,AzH,2022,136,142,106,106,148,154,88,88,86,88,144,144,133,133,,,,,,,,,,
AzH 22-5,AzH,2022,134,134,116,118,148,158,0,0,88,88,144,144,133,136,,,,,,,,,,
AzH 22-6,AzH,2022,0,0,118,118,146,148,91,97,86,88,144,144,133,136,,,,,,,,,,
AzH 22-8,AzH,2022,134,140,0,0,0,0,91,100,86,86,146,146,133,133,,,,,,,,,,
AzH 22-9,AzH,2022,134,134,0,0,144,148,88,91,86,86,144,144,133,139,,,,,,,,,,
ALW 22-1,AL-West,2022,134,140,116,116,148,148,88,91,86,90,146,146,139,139,,,,,,,,,,
ALW 22-11,AL-West,2022,134,134,118,122,148,152,88,91,88,90,146,146,133,139,,,,,,,,,,
ALW 22-12,AL-West,2022,134,144,116,116,0,0,0,0,86,86,146,146,133,139,,,,,,,,,,
ALW 22-13,AL-West,2022,134,134,98,118,0,0,0,0,90,90,146,146,136,136,,,,,,,,,,
ALW 22-15,AL-West,2022,134,134,114,116,148,152,88,91,86,90,146,146,133,133,,,,,,,,,,
ALW 22-2,AL-West,2022,134,134,118,118,148,148,0,0,90,90,146,146,133,136,,,,,,,,,,
ALW 22-4,AL-West,2022,134,140,116,116,148,148,88,91,86,90,146,146,139,139,,,,,,,,,,
ALW 22-5,AL-West,2022,126,126,116,116,0,0,0,0,86,88,146,146,133,136,,,,,,,,,,
ALW 22-6,AL-West,2022,134,134,118,122,148,148,88,91,86,86,146,146,136,139,,,,,,,,,,
ALW 22-7,AL-West,2022,134,134,118,118,0,0,85,91,86,86,146,146,133,139,,,,,,,,,,
ALW 22-8,AL-West,2022,134,134,116,118,148,148,88,91,86,86,146,146,133,136,,,,,,,,,,
SGR 22-1,SGR,2022,134,134,110,110,148,148,0,0,86,88,146,146,136,136,,,,,,,,,,
SGR 22-2,SGR,2022,128,134,0,0,152,152,88,97,88,88,144,144,139,139,,,,,,,,,,
SGR 22-3,SGR,2022,134,134,116,118,148,148,88,88,88,88,146,146,136,139,,,,,,,,,,
SGR 22-4,SGR,2022,128,128,88,88,150,154,85,103,86,86,142,142,133,133,,,,,,,,,,
SGR 22-5,SGR,2022,134,134,116,118,148,148,0,0,88,88,144,144,136,139,,,,,,,,,,
SGR 22-6,SGR,2022,134,134,116,118,146,150,88,88,88,88,144,144,136,139,,,,,,,,,,
SGR 22-8,SGR,2022,134,134,106,116,148,150,0,0,88,88,146,146,136,139,,,,,,,,,,
LV 22-1,LV,2022,128,128,108,108,144,152,0,0,90,90,152,152,142,142,,,,,,,,,,
LV 22-11,LV,2022,128,132,116,120,148,148,88,88,88,88,152,152,136,145,,,,,,,,,,
LV 22-12,LV,2022,128,128,108,108,148,148,88,91,88,88,144,152,145,148,,,,,,,,,,
LV 22-13,LV,2022,128,128,108,108,148,148,0,0,88,90,150,150,136,136,,,,,,,,,,
LV 22-4,LV,2022,128,134,108,108,148,148,85,88,88,88,150,150,136,136,,,,,,,,,,
LV 22-5,LV,2022,128,128,108,108,148,148,0,0,90,90,152,152,136,136,,,,,,,,,,
LV 22-6,LV,2022,128,128,108,108,148,148,0,0,90,90,150,150,136,142,,,,,,,,,,
